M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
49152,16384,32,3,576,4,4,6.831,0.249,2.070355e+11,2.743847e+01,1.743822e-06
49152,16384,32,3,1024,4,4,6.831,0.351,1.468297e+11,1.945938e+01,1.743822e-06
3072,1024,3,4,64,4,4,0.018,0.002,8.609157e+09,8.097002e+00,4.470300e-07
3072,1024,3,4,256,4,4,0.018,0.003,7.132762e+09,6.708437e+00,4.470300e-07
3072,1024,3,4,576,4,4,0.018,0.004,4.929052e+09,4.635825e+00,4.470300e-07
3072,1024,3,4,1024,4,4,0.018,0.005,3.833041e+09,3.605015e+00,4.470300e-07
3072,1024,6,4,64,4,4,0.015,0.002,1.534777e+10,6.243167e+00,4.460367e-07
3072,1024,6,4,256,4,4,0.015,0.003,1.241843e+10,5.051569e+00,4.460367e-07
3072,1024,6,4,576,4,4,0.015,0.005,8.360737e+09,3.400981e+00,4.460367e-07
3072,1024,6,4,1024,4,4,0.015,0.006,6.395239e+09,2.601456e+00,4.460367e-07
3072,1024,8,4,64,4,4,0.025,0.002,2.268296e+10,1.130416e+01,4.458706e-07
3072,1024,8,4,256,4,4,0.025,0.003,1.639166e+10,8.168860e+00,4.458706e-07
3072,1024,8,4,576,4,4,0.025,0.005,1.014315e+10,5.054884e+00,4.458706e-07
3072,1024,8,4,1024,4,4,0.025,0.006,7.802899e+09,3.888611e+00,4.458706e-07
3072,1024,20,4,64,4,4,0.020,0.003,4.328474e+10,6.956009e+00,4.466144e-07
3072,1024,20,4,256,4,4,0.020,0.005,2.678592e+10,4.304591e+00,4.466144e-07
3072,1024,20,4,576,4,4,0.020,0.008,1.595201e+10,2.563543e+00,4.466144e-07
3072,1024,20,4,1024,4,4,0.020,0.010,1.249324e+10,2.007707e+00,4.466144e-07
3072,1024,32,4,64,4,4,0.027,0.004,5.691815e+10,7.743127e+00,4.457242e-07
3072,1024,32,4,256,4,4,0.027,0.006,3.298256e+10,4.486937e+00,4.457242e-07
3072,1024,32,4,576,4,4,0.027,0.011,1.868024e+10,2.541253e+00,4.457242e-07
3072,1024,32,4,1024,4,4,0.027,0.014,1.457827e+10,1.983223e+00,4.457242e-07
6144,2048,3,4,64,4,4,0.047,0.003,2.610647e+10,1.615976e+01,6.227165e-07
6144,2048,3,4,256,4,4,0.047,0.004,1.974540e+10,1.222229e+01,6.227165e-07
6144,2048,3,4,576,4,4,0.047,0.006,1.236198e+10,7.651996e+00,6.227165e-07
6144,2048,3,4,1024,4,4,0.047,0.011,7.043208e+09,4.359706e+00,6.227165e-07
6144,2048,6,4,64,4,4,0.055,0.003,4.709398e+10,1.724562e+01,6.246317e-07
6144,2048,6,4,256,4,4,0.055,0.005,3.248953e+10,1.189753e+01,6.246317e-07
6144,2048,6,4,576,4,4,0.055,0.008,2.005007e+10,7.342253e+00,6.246317e-07
6144,2048,6,4,1024,4,4,0.055,0.013,1.136749e+10,4.162727e+00,6.246317e-07
6144,2048,8,4,64,4,4,0.052,0.003,6.777133e+10,1.741602e+01,6.280384e-07
6144,2048,8,4,256,4,4,0.052,0.005,4.405395e+10,1.132108e+01,6.280384e-07
6144,2048,8,4,576,4,4,0.052,0.008,2.390369e+10,6.142822e+00,6.280384e-07
6144,2048,8,4,1024,4,4,0.052,0.015,1.376135e+10,3.536420e+00,6.280384e-07
6144,2048,20,4,64,4,4,0.081,0.004,1.165976e+11,1.873622e+01,6.276665e-07
6144,2048,20,4,256,4,4,0.081,0.008,6.415735e+10,1.030953e+01,6.276665e-07
6144,2048,20,4,576,4,4,0.081,0.014,3.552658e+10,5.708815e+00,6.276665e-07
6144,2048,20,4,1024,4,4,0.081,0.024,2.086246e+10,3.352417e+00,6.276665e-07
6144,2048,32,4,64,4,4,0.100,0.005,1.474007e+11,1.826927e+01,6.255728e-07
6144,2048,32,4,256,4,4,0.100,0.011,7.644063e+10,9.474272e+00,6.255728e-07
6144,2048,32,4,576,4,4,0.100,0.020,4.071674e+10,5.046550e+00,6.255728e-07
6144,2048,32,4,1024,4,4,0.100,0.034,2.383910e+10,2.954686e+00,6.255728e-07
12288,4096,3,4,64,4,4,0.218,0.005,6.682861e+10,4.813743e+01,8.884042e-07
12288,4096,3,4,256,4,4,0.218,0.006,4.845258e+10,3.490097e+01,8.884042e-07
12288,4096,3,4,576,4,4,0.218,0.011,2.677453e+10,1.928601e+01,8.884042e-07
12288,4096,3,4,1024,4,4,0.218,0.020,1.491781e+10,1.074547e+01,8.884042e-07
12288,4096,6,4,64,4,4,0.230,0.005,1.190130e+11,4.535932e+01,8.782043e-07
12288,4096,6,4,256,4,4,0.230,0.008,7.583664e+10,2.890354e+01,8.782043e-07
12288,4096,6,4,576,4,4,0.230,0.014,4.300920e+10,1.639206e+01,8.782043e-07
12288,4096,6,4,1024,4,4,0.230,0.025,2.393014e+10,9.120472e+00,8.782043e-07
12288,4096,8,4,64,4,4,0.200,0.005,1.667796e+11,4.136704e+01,8.761266e-07
12288,4096,8,4,256,4,4,0.200,0.008,9.851122e+10,2.443414e+01,8.761266e-07
12288,4096,8,4,576,4,4,0.200,0.016,5.000153e+10,1.240208e+01,8.761266e-07
12288,4096,8,4,1024,4,4,0.200,0.028,2.886277e+10,7.158951e+00,8.761266e-07
12288,4096,20,4,64,4,4,0.302,0.007,2.713814e+11,4.075613e+01,8.771971e-07
12288,4096,20,4,256,4,4,0.302,0.015,1.350129e+11,2.027628e+01,8.771971e-07
12288,4096,20,4,576,4,4,0.302,0.027,7.419907e+10,1.114324e+01,8.771971e-07
