M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
4096,8192,32,3,1024,4,4,0.288,0.148,1.446196e+10,1.942118e+00,1.237399e-06
8192,16384,3,3,64,4,4,0.533,0.013,6.211841e+10,4.110168e+01,1.756138e-06
8192,16384,3,3,256,4,4,0.533,0.018,4.357412e+10,2.883154e+01,1.756138e-06
8192,16384,3,3,576,4,4,0.533,0.042,1.939409e+10,1.283242e+01,1.756138e-06
8192,16384,3,3,1024,4,4,0.533,0.079,1.013994e+10,6.709261e+00,1.756138e-06
8192,16384,6,3,64,4,4,0.623,0.020,8.171080e+10,3.159285e+01,1.740749e-06
8192,16384,6,3,256,4,4,0.623,0.029,5.475998e+10,2.117252e+01,1.740749e-06
8192,16384,6,3,576,4,4,0.623,0.055,2.931245e+10,1.133343e+01,1.740749e-06
8192,16384,6,3,1024,4,4,0.623,0.104,1.551477e+10,5.998667e+00,1.740749e-06
8192,16384,8,3,64,4,4,0.514,0.021,1.018183e+11,2.437196e+01,1.734534e-06
8192,16384,8,3,256,4,4,0.514,0.029,7.503349e+10,1.796055e+01,1.734534e-06
8192,16384,8,3,576,4,4,0.514,0.061,3.546430e+10,8.488990e+00,1.734534e-06
8192,16384,8,3,1024,4,4,0.514,0.116,1.847043e+10,4.421215e+00,1.734534e-06
8192,16384,20,3,64,4,4,0.835,0.047,1.144810e+11,1.781395e+01,1.744045e-06
8192,16384,20,3,256,4,4,0.835,0.062,8.607571e+10,1.339392e+01,1.744045e-06
8192,16384,20,3,576,4,4,0.835,0.116,4.624393e+10,7.195844e+00,1.744045e-06
8192,16384,20,3,1024,4,4,0.835,0.204,2.630343e+10,4.092977e+00,1.744045e-06
8192,16384,32,3,64,4,4,1.114,0.073,1.179966e+11,1.529789e+01,1.744954e-06
8192,16384,32,3,256,4,4,1.114,0.098,8.747494e+10,1.134085e+01,1.744954e-06
8192,16384,32,3,576,4,4,1.114,0.167,5.141451e+10,6.665727e+00,1.744954e-06
8192,16384,32,3,1024,4,4,1.114,0.295,2.907771e+10,3.769832e+00,1.744954e-06
16384,32768,3,3,64,4,4,2.064,0.032,9.964020e+10,6.385550e+01,2.475202e-06
16384,32768,3,3,256,4,4,2.064,0.040,7.997338e+10,5.125181e+01,2.475202e-06
16384,32768,3,3,576,4,4,2.064,0.083,3.858783e+10,2.472943e+01,2.475202e-06
16384,32768,3,3,1024,4,4,2.064,0.160,2.011302e+10,1.288965e+01,2.475202e-06
16384,32768,6,3,64,4,4,2.454,0.048,1.329179e+11,5.062236e+01,2.462384e-06
16384,32768,6,3,256,4,4,2.454,0.062,1.032524e+11,3.932414e+01,2.462384e-06
16384,32768,6,3,576,4,4,2.454,0.113,5.692830e+10,2.168140e+01,2.462384e-06
16384,32768,6,3,1024,4,4,2.454,0.210,3.067080e+10,1.168111e+01,2.462384e-06
16384,32768,8,3,64,4,4,2.060,0.050,1.730089e+11,4.149613e+01,2.462196e-06
16384,32768,8,3,256,4,4,2.060,0.061,1.411118e+11,3.384563e+01,2.462196e-06
16384,32768,8,3,576,4,4,2.060,0.123,6.991259e+10,1.676852e+01,2.462196e-06
16384,32768,8,3,1024,4,4,2.060,0.233,3.688264e+10,8.846291e+00,2.462196e-06
16384,32768,20,3,64,4,4,3.405,0.105,2.043334e+11,3.239497e+01,2.473102e-06
16384,32768,20,3,256,4,4,3.405,0.130,1.652330e+11,2.619600e+01,2.473102e-06
16384,32768,20,3,576,4,4,3.405,0.234,9.182963e+10,1.455865e+01,2.473102e-06
16384,32768,20,3,1024,4,4,3.405,0.412,5.210079e+10,8.260048e+00,2.473102e-06
16384,32768,32,3,64,4,4,4.578,0.159,2.154487e+11,2.870662e+01,2.468954e-06
16384,32768,32,3,256,4,4,4.578,0.199,1.724808e+11,2.298153e+01,2.468954e-06
16384,32768,32,3,576,4,4,4.578,0.341,1.007360e+11,1.342218e+01,2.468954e-06
16384,32768,32,3,1024,4,4,4.578,0.593,5.792662e+10,7.718208e+00,2.468954e-06
1024,2048,3,4,64,4,4,0.018,0.003,4.357624e+09,6.343866e+00,6.270797e-07
1024,2048,3,4,256,4,4,0.018,0.004,3.445732e+09,5.016325e+00,6.270797e-07
1024,2048,3,4,576,4,4,0.018,0.004,3.440997e+09,5.009433e+00,6.270797e-07
1024,2048,3,4,1024,4,4,0.018,0.004,3.269139e+09,4.759240e+00,6.270797e-07
1024,2048,6,4,64,4,4,0.021,0.003,7.735426e+09,6.586929e+00,6.216346e-07
1024,2048,6,4,256,4,4,0.021,0.004,5.890313e+09,5.015764e+00,6.216346e-07
1024,2048,6,4,576,4,4,0.021,0.004,5.877230e+09,5.004623e+00,6.216346e-07
1024,2048,6,4,1024,4,4,0.021,0.004,5.840518e+09,4.973362e+00,6.216346e-07
1024,2048,8,4,64,4,4,0.009,0.003,1.133558e+10,2.931941e+00,6.212338e-07
1024,2048,8,4,256,4,4,0.009,0.004,7.637722e+09,1.975493e+00,6.212338e-07
1024,2048,8,4,576,4,4,0.009,0.004,7.511090e+09,1.942739e+00,6.212338e-07
1024,2048,8,4,1024,4,4,0.009,0.004,7.616004e+09,1.969875e+00,6.212338e-07
1024,2048,20,4,64,4,4,0.013,0.004,1.953156e+10,3.109766e+00,6.264451e-07
1024,2048,20,4,256,4,4,0.013,0.008,1.108632e+10,1.765137e+00,6.264451e-07
1024,2048,20,4,576,4,4,0.013,0.008,1.116884e+10,1.778275e+00,6.264451e-07
1024,2048,20,4,1024,4,4,0.013,0.007,1.122988e+10,1.787993e+00,6.264451e-07
1024,2048,32,4,64,4,4,0.023,0.005,2.466105e+10,4.152898e+00,6.267346e-07
1024,2048,32,4,256,4,4,0.023,0.010,1.379207e+10,2.322573e+00,6.267346e-07
1024,2048,32,4,576,4,4,0.023,0.010,1.367344e+10,2.302594e+00,6.267346e-07
1024,2048,32,4,1024,4,4,0.023,0.010,1.368803e+10,2.305051e+00,6.267346e-07
2048,4096,3,4,64,4,4,0.035,0.004,1.166310e+10,8.006169e+00,8.901465e-07
2048,4096,3,4,256,4,4,0.035,0.006,8.655259e+09,5.941430e+00,8.901465e-07
2048,4096,3,4,576,4,4,0.035,0.009,5.322377e+09,3.653563e+00,8.901465e-07
2048,4096,3,4,1024,4,4,0.035,0.009,5.301837e+09,3.639463e+00,8.901465e-07
2048,4096,6,4,64,4,4,0.041,0.005,2.036945e+10,8.278879e+00,8.708544e-07
2048,4096,6,4,256,4,4,0.041,0.007,1.411014e+10,5.734870e+00,8.708544e-07
2048,4096,6,4,576,4,4,0.041,0.012,8.415101e+09,3.420200e+00,8.708544e-07
2048,4096,6,4,1024,4,4,0.041,0.012,8.425263e+09,3.424330e+00,8.708544e-07
2048,4096,8,4,64,4,4,0.034,0.004,3.034458e+10,7.786122e+00,8.818544e-07
2048,4096,8,4,256,4,4,0.034,0.007,1.829278e+10,4.693749e+00,8.818544e-07
2048,4096,8,4,576,4,4,0.034,0.014,9.629150e+09,2.470745e+00,8.818544e-07
2048,4096,8,4,1024,4,4,0.034,0.014,9.622380e+09,2.469008e+00,8.818544e-07
2048,4096,20,4,64,4,4,0.054,0.007,4.726203e+10,7.616750e+00,8.781085e-07
2048,4096,20,4,256,4,4,0.054,0.014,2.383874e+10,3.841851e+00,8.781085e-07
2048,4096,20,4,576,4,4,0.054,0.024,1.412273e+10,2.276019e+00,8.781085e-07
2048,4096,20,4,1024,4,4,0.054,0.024,1.419381e+10,2.287475e+00,8.781085e-07
2048,4096,32,4,64,4,4,0.073,0.009,5.762847e+10,7.842766e+00,8.799150e-07
2048,4096,32,4,256,4,4,0.073,0.020,2.711613e+10,3.690284e+00,8.799150e-07
2048,4096,32,4,576,4,4,0.073,0.034,1.596873e+10,2.173214e+00,8.799150e-07
2048,4096,32,4,1024,4,4,0.073,0.034,1.601184e+10,2.179081e+00,8.799150e-07
4096,8192,3,4,64,4,4,0.129,0.007,2.845733e+10,1.824913e+01,1.239579e-06
4096,8192,3,4,256,4,4,0.129,0.011,1.863603e+10,1.195092e+01,1.239579e-06
4096,8192,3,4,576,4,4,0.129,0.020,1.016017e+10,6.515516e+00,1.239579e-06
4096,8192,3,4,1024,4,4,0.129,0.040,5.009856e+09,3.212723e+00,1.239579e-06
4096,8192,6,4,64,4,4,0.160,0.008,4.856197e+10,1.929153e+01,1.243849e-06
4096,8192,6,4,256,4,4,0.160,0.014,2.886507e+10,1.146682e+01,1.243849e-06
4096,8192,6,4,576,4,4,0.160,0.025,1.583371e+10,6.290033e+00,1.243849e-06
4096,8192,6,4,1024,4,4,0.160,0.050,7.983159e+09,3.171357e+00,1.243849e-06
4096,8192,8,4,64,4,4,0.129,0.007,7.320077e+10,1.756790e+01,1.249686e-06
4096,8192,8,4,256,4,4,0.129,0.015,3.687370e+10,8.849548e+00,1.249686e-06
4096,8192,8,4,576,4,4,0.129,0.029,1.835386e+10,4.404856e+00,1.249686e-06
4096,8192,8,4,1024,4,4,0.129,0.056,9.615335e+09,2.307644e+00,1.249686e-06
4096,8192,20,4,64,4,4,0.207,0.013,1.056104e+11,1.629590e+01,1.241075e-06
4096,8192,20,4,256,4,4,0.207,0.028,4.871584e+10,7.516950e+00,1.241075e-06
4096,8192,20,4,576,4,4,0.207,0.054,2.507965e+10,3.869839e+00,1.241075e-06
4096,8192,20,4,1024,4,4,0.207,0.095,1.410420e+10,2.176306e+00,1.241075e-06
4096,8192,32,4,64,4,4,0.284,0.017,1.254600e+11,1.656362e+01,1.237399e-06
4096,8192,32,4,256,4,4,0.284,0.040,5.350075e+10,7.063335e+00,1.237399e-06
